combination,loss,epoch,training_encoder_time
"[16, 4, 16, [16], 'tanh', 0.95, 0.9, 0.9]",0.996552359,189,517
"[16, 4, 16, [16], 'tanh', 0.9, 0.9, 0.95]",1.191143956,621,1669
"[16, 4, 16, [16], 'tanh', 0.9, 0.9, 0.9]",0.732700941,1000,2683
"[16, 4, 16, [16], 'sigmoid', 0.95, 0.9, 0.95]",1.541199928,980,2641
"[16, 4, 16, [16], 'sigmoid', 0.95, 0.9, 0.9]",0.856382476,351,931
"[16, 4, 16, [16], 'sigmoid', 0.9, 0.9, 0.95]",1.114450248,259,683
"[16, 4, 16, [16], 'sigmoid', 0.9, 0.9, 0.9]",1.357925611,95,250
"[16, 4, 16, [32], 'tanh', 0.95, 0.9, 0.95]",0.978742647,603,1677
"[16, 4, 16, [32], 'tanh', 0.95, 0.9, 0.9]",0.612003531,448,1256
"[16, 4, 16, [32], 'tanh', 0.9, 0.9, 0.95]",0.999578392,1000,2821
"[16, 4, 16, [32], 'tanh', 0.9, 0.9, 0.9]",0.319866713,1000,2802
"[16, 4, 16, [32], 'sigmoid', 0.95, 0.9, 0.95]",1.027780843,176,497
"[16, 4, 16, [32], 'sigmoid', 0.95, 0.9, 0.9]",1.414200233,72,201
"[16, 4, 16, [32], 'sigmoid', 0.9, 0.9, 0.95]",1.858189055,28,78
"[16, 4, 16, [32], 'sigmoid', 0.9, 0.9, 0.9]",1.084142087,136,384
"[16, 4, 16, [8, 4], 'tanh', 0.95, 0.9, 0.95]",1.831805565,437,1859
"[16, 4, 16, [8, 4], 'tanh', 0.95, 0.9, 0.9]",1.269376609,210,893
"[16, 4, 16, [8, 4], 'tanh', 0.9, 0.9, 0.95]",1.183435483,975,4156
"[16, 4, 16, [8, 4], 'tanh', 0.9, 0.9, 0.9]",0.295351358,1000,4228
"[16, 4, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",0.944105888,351,1498
"[16, 4, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",1.669529247,483,2037
"[16, 4, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",1.44968628,479,2040
"[16, 4, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",1.727551938,138,583
"[16, 4, 16, [16, 8], 'tanh', 0.95, 0.9, 0.95]",0.930122873,256,1112
"[16, 4, 16, [16, 8], 'tanh', 0.95, 0.9, 0.9]",1.394572737,239,1029
"[16, 4, 16, [16, 8], 'tanh', 0.9, 0.9, 0.95]",0.780920837,25,108
"[16, 4, 16, [16, 8], 'tanh', 0.9, 0.9, 0.9]",1.543108839,577,2473
"[16, 4, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",0.978778998,78,338
"[16, 4, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",1.480890335,369,1584
"[16, 4, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",0.7696706,1000,4324
"[16, 4, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.9]",2.153192122,696,2966
"[16, 4, 32, [16], 'tanh', 0.95, 0.9, 0.95]",0.297994152,1000,1406
"[16, 4, 32, [16], 'tanh', 0.95, 0.9, 0.9]",0.317685695,1000,1438
"[16, 4, 32, [16], 'tanh', 0.9, 0.9, 0.95]",0.410557452,895,1275
"[16, 4, 32, [16], 'tanh', 0.9, 0.9, 0.9]",0.298331149,1000,1423
"[16, 4, 32, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.450172639,996,1442
"[16, 4, 32, [16], 'sigmoid', 0.95, 0.9, 0.9]",0.857629343,975,1929
"[16, 4, 32, [16], 'sigmoid', 0.9, 0.9, 0.95]",1.336792729,573,1993
"[16, 4, 32, [16], 'sigmoid', 0.9, 0.9, 0.9]",0.958402003,290,984
"[16, 4, 32, [32], 'tanh', 0.95, 0.9, 0.95]",0.415097453,30,116
"[16, 4, 32, [32], 'tanh', 0.95, 0.9, 0.9]",0.395029481,1000,3754
"[16, 4, 32, [32], 'tanh', 0.9, 0.9, 0.95]",0.353747842,318,1206
"[16, 4, 32, [32], 'tanh', 0.9, 0.9, 0.9]",0.692768286,904,3394
"[16, 4, 32, [32], 'sigmoid', 0.95, 0.9, 0.95]",0.287492896,1000,3747
"[16, 4, 32, [32], 'sigmoid', 0.95, 0.9, 0.9]",0.380020193,600,2262
"[16, 4, 32, [32], 'sigmoid', 0.9, 0.9, 0.95]",0.461929855,1000,-82669
"[16, 4, 32, [32], 'sigmoid', 0.9, 0.9, 0.9]",0.431995515,552,2047
"[16, 4, 32, [8, 4], 'tanh', 0.95, 0.9, 0.95]",1.223454442,202,1207
"[16, 4, 32, [8, 4], 'tanh', 0.95, 0.9, 0.9]",0.526976514,27,165
"[16, 4, 32, [8, 4], 'tanh', 0.9, 0.9, 0.95]",0.785826257,51,306
"[16, 4, 32, [8, 4], 'tanh', 0.9, 0.9, 0.9]",1.074608913,161,946
"[16, 4, 32, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",0.381270085,1000,5723
"[16, 4, 32, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",0.376857789,1000,4336
"[16, 4, 32, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",1.528457477,147,582
"[16, 4, 32, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",1.51046926,122,472
"[16, 4, 32, [16, 8], 'tanh', 0.95, 0.9, 0.95]",1.091285047,698,2008
"[16, 4, 32, [16, 8], 'tanh', 0.95, 0.9, 0.9]",0.303198812,427,941
"[16, 4, 32, [16, 8], 'tanh', 0.9, 0.9, 0.95]",0.749525126,499,1107
"[16, 4, 32, [16, 8], 'tanh', 0.9, 0.9, 0.9]",0.967961511,273,603
"[16, 4, 32, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",0.844310653,576,1281
"[16, 4, 32, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",0.429000753,978,2153
"[16, 4, 32, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",0.915547442,305,676
"[16, 4, 32, [16, 8], 'sigmoid', 0.9, 0.9, 0.9]",0.306766242,1000,2202
"[16, 6, 16, [16], 'tanh', 0.95, 0.9, 0.95]",1.575009643,764,2140
"[16, 6, 16, [16], 'tanh', 0.95, 0.9, 0.9]",1.922026843,359,1014
"[16, 6, 16, [16], 'tanh', 0.9, 0.9, 0.95]",1.033994429,580,1631
"[16, 6, 16, [16], 'tanh', 0.9, 0.9, 0.9]",0.958957231,122,341
"[16, 6, 16, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.531278399,1000,2823
"[16, 6, 16, [16], 'sigmoid', 0.95, 0.9, 0.9]",1.105888449,851,2390
"[16, 6, 16, [16], 'sigmoid', 0.9, 0.9, 0.95]",0.295835609,1000,2831
"[16, 6, 16, [16], 'sigmoid', 0.9, 0.9, 0.9]",0.828657455,438,1233
"[16, 6, 16, [32], 'tanh', 0.95, 0.9, 0.95]",0.52004846,1000,3061
"[16, 6, 16, [32], 'tanh', 0.95, 0.9, 0.9]",1.00243115,597,1825
"[16, 6, 16, [32], 'tanh', 0.9, 0.9, 0.95]",1.059502992,1000,3071
"[16, 6, 16, [32], 'tanh', 0.9, 0.9, 0.9]",1.360752527,1000,3046
"[16, 6, 16, [32], 'sigmoid', 0.95, 0.9, 0.95]",1.157704101,192,582
"[16, 6, 16, [32], 'sigmoid', 0.95, 0.9, 0.9]",0.821377545,1000,3031
"[16, 6, 16, [32], 'sigmoid', 0.9, 0.9, 0.95]",0.837950334,807,2460
"[16, 6, 16, [32], 'sigmoid', 0.9, 0.9, 0.9]",0.893776981,1000,3035
"[16, 6, 16, [8, 4], 'tanh', 0.95, 0.9, 0.95]",0.30732894,1000,4434
"[16, 6, 16, [8, 4], 'tanh', 0.95, 0.9, 0.9]",1.111055649,639,2815
"[16, 6, 16, [8, 4], 'tanh', 0.9, 0.9, 0.95]",0.919345605,268,1175
"[16, 6, 16, [8, 4], 'tanh', 0.9, 0.9, 0.9]",0.798974428,703,3064
"[16, 6, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",1.702057978,207,905
"[16, 6, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",1.709605836,533,2315
"[16, 6, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",0.577873748,1000,4397
"[16, 6, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",0.83785352,1000,-82024
"[16, 6, 16, [16, 8], 'tanh', 0.95, 0.9, 0.95]",0.789966199,59,267
"[16, 6, 16, [16, 8], 'tanh', 0.95, 0.9, 0.9]",1.32449304,115,516
"[16, 6, 16, [16, 8], 'tanh', 0.9, 0.9, 0.95]",1.705962696,885,3971
"[16, 6, 16, [16, 8], 'tanh', 0.9, 0.9, 0.9]",0.98978967,200,889
"[16, 6, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",1.087164716,616,2774
"[16, 6, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",0.401134487,1000,4454
"[16, 6, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",0.29393368,1000,4491
"[16, 6, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.9]",1.246438681,143,637
"[16, 6, 32, [16], 'tanh', 0.95, 0.9, 0.95]",0.363619769,104,162
"[16, 6, 32, [16], 'tanh', 0.95, 0.9, 0.9]",0.71784325,118,181
"[16, 6, 32, [16], 'tanh', 0.9, 0.9, 0.95]",0.807335796,862,1310
"[16, 6, 32, [16], 'tanh', 0.9, 0.9, 0.9]",0.383565904,1000,1520
"[16, 6, 32, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.572003066,798,1233
"[16, 6, 32, [16], 'sigmoid', 0.95, 0.9, 0.9]",0.548461189,312,483
"[16, 6, 32, [16], 'sigmoid', 0.9, 0.9, 0.95]",0.41290474,460,707
"[16, 6, 32, [16], 'sigmoid', 0.9, 0.9, 0.9]",0.922057206,169,260
"[16, 6, 32, [32], 'tanh', 0.95, 0.9, 0.95]",0.504823362,712,1248
"[16, 6, 32, [32], 'tanh', 0.95, 0.9, 0.9]",0.588531221,1000,1739
"[16, 6, 32, [32], 'tanh', 0.9, 0.9, 0.95]",1.310299432,603,1051
"[16, 6, 32, [32], 'tanh', 0.9, 0.9, 0.9]",0.709851389,904,1576
"[16, 6, 32, [32], 'sigmoid', 0.95, 0.9, 0.95]",0.299837091,1000,1755
"[16, 6, 32, [32], 'sigmoid', 0.95, 0.9, 0.9]",1.175486024,474,822
"[16, 6, 32, [32], 'sigmoid', 0.9, 0.9, 0.95]",0.384788957,511,900
"[16, 6, 32, [32], 'sigmoid', 0.9, 0.9, 0.9]",0.629072455,415,722
"[16, 6, 32, [8, 4], 'tanh', 0.95, 0.9, 0.95]",0.636351118,365,841
"[16, 6, 32, [8, 4], 'tanh', 0.95, 0.9, 0.9]",0.687929913,679,1551
"[16, 6, 32, [8, 4], 'tanh', 0.9, 0.9, 0.95]",0.309279572,397,906
"[16, 6, 32, [8, 4], 'tanh', 0.9, 0.9, 0.9]",0.446292111,1000,2262
"[16, 6, 32, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",1.949278559,1000,2274
"[16, 6, 32, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",0.656125003,535,1210
"[16, 6, 32, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",1.083564964,621,1406
