combination,loss,epoch
"[10, 5, 16, [16], 'tanh']",2.6880640165304084,27
"[10, 5, 16, [16], 'sigmoid']",1.6135615572547581,13
"[10, 5, 16, [32], 'tanh']",1.0409481019317555,29
"[10, 5, 16, [32], 'sigmoid']",1.5396047147808192,11
"[10, 5, 16, [8, 4], 'tanh']",1.1788988657027597,14
"[10, 5, 16, [8, 4], 'sigmoid']",1.1974324182533502,18
"[10, 5, 16, [16, 8], 'tanh']",1.3401301508219976,27
"[10, 5, 16, [16, 8], 'sigmoid']",0.8218596474622275,22
"[10, 5, 32, [16], 'tanh']",0.4343908660595269,386
"[10, 5, 32, [16], 'sigmoid']",1.4242305515374172,454
"[10, 5, 32, [32], 'tanh']",0.3911324686175854,171
"[10, 5, 32, [32], 'sigmoid']",2.0614931355169994,11
"[10, 5, 32, [8, 4], 'tanh']",0.6051681177295244,16
"[10, 5, 32, [8, 4], 'sigmoid']",0.5335005961197195,119
"[10, 5, 32, [16, 8], 'tanh']",0.4244063463463379,511
"[10, 5, 32, [16, 8], 'sigmoid']",0.3232000026021359,650
"[10, 6, 16, [16], 'tanh']",0.7879990073309242,440
"[10, 6, 16, [16], 'sigmoid']",1.899025726650673,8
"[10, 6, 16, [32], 'tanh']",1.406818849909641,169
"[10, 6, 16, [32], 'sigmoid']",1.6296270719427697,8
"[10, 6, 16, [8, 4], 'tanh']",0.5899690311482294,1000
"[10, 6, 16, [8, 4], 'sigmoid']",1.9429788028486128,16
"[10, 6, 16, [16, 8], 'tanh']",0.4703005174134798,1000
"[10, 6, 16, [16, 8], 'sigmoid']",1.3249723413758052,19
"[10, 6, 32, [16], 'tanh']",0.29766629255723204,22
"[10, 6, 32, [16], 'sigmoid']",2.0125507622206626,6
"[10, 6, 32, [32], 'tanh']",0.3870634248251711,713
"[10, 6, 32, [32], 'sigmoid']",1.6726874210744256,6
"[10, 6, 32, [8, 4], 'tanh']",0.5089678345287808,155
"[10, 6, 32, [8, 4], 'sigmoid']",1.59274016746298,7
"[10, 6, 32, [16, 8], 'tanh']",0.850038856007492,15
"[10, 6, 32, [16, 8], 'sigmoid']",0.5271063163018214,114
"[10, 7, 16, [16], 'tanh']",0.6635670160110569,762
"[10, 7, 16, [16], 'sigmoid']",0.6679262896985911,60
"[10, 7, 16, [32], 'tanh']",1.0693047015679757,27
"[10, 7, 16, [32], 'sigmoid']",1.7074924518628747,8
"[10, 7, 16, [8, 4], 'tanh']",0.674429016994443,619
"[10, 7, 16, [8, 4], 'sigmoid']",2.784306865962712,6
"[10, 7, 16, [16, 8], 'tanh']",0.33083772332331846,1000
"[10, 7, 16, [16, 8], 'sigmoid']",0.6922916630081768,32
"[10, 7, 32, [16], 'tanh']",0.5636464813881213,28
"[10, 7, 32, [16], 'sigmoid']",0.330587931416932,299
"[10, 7, 32, [32], 'tanh']",0.4024868010508945,606
"[10, 7, 32, [32], 'sigmoid']",1.299834014775511,8
"[10, 7, 32, [8, 4], 'tanh']",0.39056200225356624,554
"[10, 7, 32, [8, 4], 'sigmoid']",0.6766473191139991,1000
"[10, 7, 32, [16, 8], 'tanh']",0.5973320503059117,30
"[10, 7, 32, [16, 8], 'sigmoid']",1.753402570329543,7
"[10, 8, 16, [16], 'tanh']",0.9340536742651857,222
"[10, 8, 16, [16], 'sigmoid']",0.7229029283141689,54
"[10, 8, 16, [32], 'tanh']",1.445976697530245,7
"[10, 8, 16, [32], 'sigmoid']",1.579279045310365,9
"[10, 8, 16, [8, 4], 'tanh']",1.1165464110404413,32
"[10, 8, 16, [8, 4], 'sigmoid']",0.8611149792941102,23
"[10, 8, 16, [16, 8], 'tanh']",0.57872005511311,527
"[10, 8, 16, [16, 8], 'sigmoid']",0.8638836511497623,26
"[10, 8, 32, [16], 'tanh']",0.6440481343607724,213
"[10, 8, 32, [16], 'sigmoid']",0.3582300833553317,1000
"[10, 8, 32, [32], 'tanh']",0.6033596484443207,59
"[10, 8, 32, [32], 'sigmoid']",2.3202903124818604,14
"[10, 8, 32, [8, 4], 'tanh']",0.44270497289548927,566
"[10, 8, 32, [8, 4], 'sigmoid']",0.9923280828183304,10
"[10, 8, 32, [16, 8], 'tanh']",0.4003201031642106,14
"[10, 8, 32, [16, 8], 'sigmoid']",1.1821260468458055,9
"[10, 9, 16, [16], 'tanh']",0.29972832527734655,1000
"[10, 9, 16, [16], 'sigmoid']",1.8615551262343337,10
"[10, 9, 16, [32], 'tanh']",0.8149785905325772,989
"[10, 9, 16, [32], 'sigmoid']",1.5602608224363512,8
"[10, 9, 16, [8, 4], 'tanh']",1.32780886870279,36
"[10, 9, 16, [8, 4], 'sigmoid']",1.9101458232072406,18
"[10, 9, 16, [16, 8], 'tanh']",0.4732227490423596,419
"[10, 9, 16, [16, 8], 'sigmoid']",1.023025866710442,31
"[10, 9, 32, [16], 'tanh']",0.4438989596722067,568
"[10, 9, 32, [16], 'sigmoid']",2.1628444505145095,6
"[10, 9, 32, [32], 'tanh']",0.29514196263162196,1000
"[10, 9, 32, [32], 'sigmoid']",0.3207204407926035,15
"[10, 9, 32, [8, 4], 'tanh']",0.478836957831556,550
