combination,loss,epoch
"[26, 2, 32, [16], 'tanh']",0.316273615,14
"[26, 2, 32, [16], 'sigmoid']",2.436164835,15
"[26, 2, 32, [32], 'tanh']",0.38259338,34
"[26, 2, 32, [32], 'sigmoid']",1.626954312,6
"[26, 2, 32, [8, 4], 'tanh']",0.514796368,31
"[26, 2, 32, [8, 4], 'sigmoid']",0.844930002,11
"[26, 2, 32, [16, 8], 'tanh']",0.435687331,327
"[26, 2, 32, [16, 8], 'sigmoid']",1.363135313,8
"[26, 4, 16, [16], 'tanh']",0.725634565,500
"[26, 4, 16, [16], 'sigmoid']",0.964490652,10
"[26, 4, 16, [32], 'tanh']",1.110042351,51
"[26, 4, 16, [32], 'sigmoid']",0.845099526,14
"[26, 4, 16, [8, 4], 'tanh']",0.985142424,40
"[26, 4, 16, [8, 4], 'sigmoid']",1.689614632,17
"[26, 4, 16, [16, 8], 'tanh']",1.199392352,40
"[26, 4, 16, [16, 8], 'sigmoid']",0.377182487,23
"[26, 4, 32, [16], 'tanh']",0.307468635,500
"[26, 4, 32, [16], 'sigmoid']",2.377450569,12
"[26, 4, 32, [32], 'tanh']",0.324208081,29
"[26, 4, 32, [32], 'sigmoid']",0.939326162,8
"[26, 4, 32, [8, 4], 'tanh']",0.31802041,500
"[26, 4, 32, [8, 4], 'sigmoid']",0.677742647,298
"[26, 4, 32, [16, 8], 'tanh']",0.629897968,105
"[26, 4, 32, [16, 8], 'sigmoid']",0.406553837,500
"[26, 6, 16, [16], 'tanh']",1.174410207,40
"[26, 6, 16, [16], 'sigmoid']",0.949120086,9
"[26, 6, 16, [32], 'tanh']",1.616017141,16
"[26, 6, 16, [32], 'sigmoid']",0.881810266,16
"[26, 6, 16, [8, 4], 'tanh']",0.583840537,500
"[26, 6, 16, [8, 4], 'sigmoid']",1.712662605,11
"[26, 6, 16, [16, 8], 'tanh']",0.476431641,500
"[26, 6, 16, [16, 8], 'sigmoid']",0.790696787,15
"[26, 6, 32, [16], 'tanh']",0.327356153,22
"[26, 6, 32, [16], 'sigmoid']",2.095863523,10
"[26, 6, 32, [32], 'tanh']",0.363156274,500
"[26, 6, 32, [32], 'sigmoid']",2.356154473,6
"[26, 6, 32, [8, 4], 'tanh']",0.369155144,403
"[26, 6, 32, [8, 4], 'sigmoid']",1.387430481,8
"[26, 6, 32, [16, 8], 'tanh']",0.400719999,500
"[26, 6, 32, [16, 8], 'sigmoid']",0.382934765,500
"[28, 2, 16, [16], 'tanh']",0.982720337,26
"[28, 2, 16, [16], 'sigmoid']",1.10380434,33
"[28, 2, 16, [32], 'tanh']",1.37499556,58
"[28, 2, 16, [32], 'sigmoid']",2.208946321,12
"[28, 2, 16, [8, 4], 'tanh']",0.960512174,8
"[28, 2, 16, [8, 4], 'sigmoid']",1.993135448,17
"[28, 2, 16, [16, 8], 'tanh']",1.351043371,500
"[28, 2, 16, [16, 8], 'sigmoid']",0.998159727,19
"[28, 2, 32, [16], 'tanh']",0.346539015,12
"[28, 2, 32, [16], 'sigmoid']",0.399149295,356
"[28, 2, 32, [32], 'tanh']",0.468416339,102
"[28, 2, 32, [32], 'sigmoid']",2.329305492,6
"[28, 2, 32, [8, 4], 'tanh']",0.420215833,500
"[28, 2, 32, [8, 4], 'sigmoid']",0.695069277,11
"[28, 2, 32, [16, 8], 'tanh']",0.378393873,439
"[28, 2, 32, [16, 8], 'sigmoid']",0.599377347,11
"[28, 4, 16, [16], 'tanh']",1.211546104,44
"[28, 4, 16, [16], 'sigmoid']",0.745564985,500
"[28, 4, 16, [32], 'tanh']",1.033756914,500
"[28, 4, 16, [32], 'sigmoid']",2.18578558,8
"[28, 4, 16, [8, 4], 'tanh']",0.59585072,500
"[28, 4, 16, [8, 4], 'sigmoid']",1.435580929,23
"[28, 4, 16, [16, 8], 'tanh']",1.17428983,348
"[28, 4, 16, [16, 8], 'sigmoid']",0.755915108,28
"[28, 4, 32, [16], 'tanh']",0.32831053,50
"[28, 4, 32, [16], 'sigmoid']",1.170836971,10
"[28, 4, 32, [32], 'tanh']",0.379991885,193
"[28, 4, 32, [32], 'sigmoid']",0.325637277,17
"[28, 4, 32, [8, 4], 'tanh']",0.375060953,385
"[28, 4, 32, [8, 4], 'sigmoid']",0.951181429,15
"[28, 4, 32, [16, 8], 'tanh']",0.675491715,122
"[28, 4, 32, [16, 8], 'sigmoid']",2.267642968,6
"[28, 6, 16, [16], 'tanh']",0.939912555,26
"[28, 6, 16, [16], 'sigmoid']",0.791002602,42
"[28, 6, 16, [32], 'tanh']",0.5027419,500
"[28, 6, 16, [32], 'sigmoid']",1.993986681,10
"[28, 6, 16, [8, 4], 'tanh']",0.876154615,111
"[28, 6, 16, [8, 4], 'sigmoid']",0.962692594,20
"[28, 6, 16, [16, 8], 'tanh']",0.790186999,407
"[28, 6, 16, [16, 8], 'sigmoid']",0.989113127,19
"[28, 6, 32, [16], 'tanh']",0.310103189,12
"[28, 6, 32, [16], 'sigmoid']",1.497647508,8
"[28, 6, 32, [32], 'tanh']",0.902681218,494
"[28, 6, 32, [32], 'sigmoid']",1.382379628,15
"[28, 6, 32, [8, 4], 'tanh']",0.469820864,11
"[28, 6, 32, [8, 4], 'sigmoid']",1.270033006,13
"[28, 6, 32, [16, 8], 'tanh']",0.441764692,72
"[28, 6, 32, [16, 8], 'sigmoid']",1.458522314,9
"[16, 2, 16, [16], 'tanh', 0.95, 0.9, 0.95]",1.723884731713499,1
"[16, 2, 16, [16], 'tanh', 0.95, 0.9, 0.9]",0.8447280048015081,1
